title,article
"과기정통부, 집중호우 특별재난지역 지원대책 시행", 과학기술정보통신부 장관 최기영 이하 과기정통부 는 집중호우로 인해 특별재난지역으로 우선 선포 8월 7일 1차 된 7개 시 군을 비롯해 추가 선포 8월 13일 2차 8월 24일 3차 된 전남 곡성군 전북 남원시 경기 이천시 강원 화천군 충북 단양군 등 67개 지자체에 대해 관련 법령에 따라 지원 대책을 시행한다고 밝혔다 전파분야에서는 특별재난지역에 개설되어 있는 무선국의 전파사용료를 피해복구 지원의 일환으로 연말까지 6개월간 전액 감면한다 3차에 걸쳐 선포된 특별재난지역의 무선국 시설자 총 4409명 3만3084개무선국 이 전파사용료 감면 혜택을 받을 것으로 예상된다 과기정통부는 3분기부터 4분기 고지분에 고지분에 감면액이 반영된다는 안내문을 9월중에 발송할 예정이다 감면대상자는 별도의 신청 없이 감면혜택을 받을 수 있다 전파사용료 감면에 대한 문의는 전파이용고객만족센터 와 전국 10개 지역 관할 전파관리소에 문의하면 된다 홈페이지 www crms go kr 이와함께 과기정통부는 특별재난지역 대상으로 유선전화 이동전화 초고속인터넷 등의 통신서비스 요금과 IPTV 케이블TV 등의 유료방송서비스 요금 감면을 추진한다 통신서비스 요금은 1 90등급인 특별재난지역 피해가구를 대상으로 이동전화 대표 1회선에 1만2500원을 감면하고 시내전화 인터넷전화 월정액의 100 초고속인터넷 월정액의 50 를 감면할 예정이다 유료방송서비스는 감면율 50 이상의 수준에서 각 유료방송사가 자율적으로 정하여 1개월 분의 요금을 감면할 예정이다 과기정통부 장석영 제2차관은 특별재난지역에 대한 전파사용료 통신 유료방송 분야 요금 감면 등의 지원을 적극적으로 시행해 집중호우로 피해를 입은 국민들에게 조금이라도 도움이 될 수 있도록 최선을 다하겠다 라고 밝혔다   
디지털미디어 시대 소외되는 사람 없도록…, 정부 디지털미디어 소통역량 강화 종합계획 발표 방송통신위원회 위원장 한상혁 와 문화체육관광부 장관 박양우 등 5개 부처는 27일 공동으로 디지털 미디어 소통역량 강화 종합계획 을 발표했다 이번 계획은 정부의 코로나19 이후 시대 핵심과제 일환으로 교육부 과학기술정보통신부 행정안전부 등 관계부처와 지속적인 논의 협력을 통해 마련됐다 코로나19 이후 비대면 방식이 전면화되고 가정 내 TV OTT SNS 등 디지털 미디어의 이용이 크게 증가하면서 비대면 방식은 편리함 안전함과 더불어 디지털 경제 활성화의 기회를 제공하고 있다 하지만 개인의 고립과 공동체 해체를 가속화하고 취약계층의 사회 경제적 불평등을 심화시키는 등 우려되는 부분도 존재하며 허위정보 확산 사이버폭력 등 역기능도 증가하고 있다 이러한 상황을 개선하기 위해서는 허위정보나 사이버폭력에 대한 사후 규제와 함께 디지털 공간에서의 개인 간 배려와 존중 올바른 소통 활성화와 공동체성 확립이라는 근원적 해결이 요구되고 있다 이에 정부는 디지털 미디어 발전의 결과물을 다 함께 누리고 나이와 계층 지역으로 인해 디지털 사회에서 소외되는 일이 없도록 디지털 미디어 이용 및 제작 능력을 강화하기 위한 종합계획을 마련 시행한다 소통과 배려의 새로운 디지털 공동체 실현 이라는 목표 하에 온 오프라인 미디어교육 인프라 확대 국민의 디지털 미디어 제작 역량 강화 미디어 정보 판별 역량 강화 배려 참여의 디지털 시민성 확산을 4대 전략과제로 12개 세부과제를 추진할 계획이다 먼저 온 오프라인 미디어교육 인프라 확대를 위해 시청자미디어센터 등 미디어교육 거점시설의 전국 확대 구축을 추진하고 원하는 사람은 누구나 쉽게 미디어 제작 체험을 할 수 있도록 시설 장비를 무상으로 지원한다 또한 미디어교육원을 교원연수 전문기관으로 육성하고 학교미디어교육센터를 신설하는 등 코로나19 이후 원격수업이 본격화된 교육 현장을 집중 지원할 계획이다 또한 전 국민이 디지털 미디어를 이용하는 시대에 유아부터 어르신까지 누구나 자신의 이야기를 미디어로 자유롭게 표현할 수 있도록 생애주기별 맞춤형 교육을 시행한다 이와 함께 자유학기제 고교학점제 등 교육과정과 연계한 학교 미디어교육을 확대하고 장애인 다문화 가정 학교 밖 청소년까지 사각지대 없는 촘촘한 교육을 시행할 계획이다 미디어가 제공하는 정보들을 비판적으로 습득 활용할 수 있도록 팩트체크 시민교육을 확대하고 언론 사회 경제 등 분야별 전문가가 전문 팩트체커로 활동할 수 있도록 심화교육도 실시한다 이와 함께 SNS 유튜브 등 인터넷서비스의 추천원리 알고리즘 에 대한 이해 교육을 실시하여 디지털 콘텐츠 활용능력을 제고할 예정이다 디지털 공간에서의 정체성 확립 소통과 사회 참여 등을 위한 윤리교육을 강화하고 사이버 폭력 혐오표현 등 디지털 역기능 예방 프로그램과 올바른 미디어 기기 스마트폰 사용교육도 실시한다 공동체 라디오 확산과 지역 공동체의 미디어 참여를 지원하는 등 다양한 방식의 소통을 활성화하여 비대면 시대에 느슨해지기 쉬운 사회적 결속을 다질 수 있도록 한다 방송통신위원회 한상혁 위원장은 비대면 사회에서 더욱 중요해진 디지털 미디어 활용 능력을 전 국민이 갖출 수 있도록 미디어교육을 확대하고 인프라를 강화하는 한편 누구도 미디어교육의 혜택에서 소외되지 않도록 촘촘히 지원하겠다 라며 강력한 추진의지를 표명했다   
페인트처럼 칠해 태양전지 만든다, 페인트처럼 칠해서 태양전지를 만들 수 있는 기술이 국내 연구진에 의해 개발됐다 국내 연구진이 태양전지 원료의 용액을 코팅 후 고체화되는 속도를 제어하는 방법으로 고효율 용액공정 유기태양전지의 대면적화에 성공했다 한국과학기술연구원 KIST 원장 윤석진 광전하이브리드연구센터 손해정 박사팀은 용액 공정상에서 유기태양전지 소재의 작은 면적과 큰 면적에서 필름 형성 기작의 차이점을 규명하고 이를 공정 기술상의 해결을 통해 고효율 유기태양전지 대면적화 기술을 개발했다고 밝혔다 이는 태양전지 소재를 페인트처럼 만들어 장기적으로는 건물이나 자동차 등 원하는 공간에 칠해 쉽게 전기를 획득할 수 있게 해줄 것으로 예상되고 있다 태양전지 소재의 용액을 코팅하는 방식을 이용한 태양전지 생산 기술인 용액공정 태양전지는 전기를 생산하는 활성 영역이 매우 작은 0 1 이하 실험실 수준에 머물러 있다 실질적으로 전력생산이 가능한 넓은 면적으로 적용하면 소재와 공정에서 오는 한계로 태양전지의 성능감소와 재현성 문제가 있어 상용화에 걸림돌이 되고 있다 KIST 손해정 박사팀은 상용화된 유기 소재가 쉽게 결정화되는 성질을 갖고 있어 대면적 용액공정에 부적합하다는 사실을 밝혔다 산업용으로 쓰이는 대면적 용액공정은 태양전지 소재가 녹아 있는 용매가 증발해 필름이 형성되는 속도가 느리기 때문에 뭉침 등의 현상이 일어나 태양전지의 효율이 떨어지게 된다 반면에 실험실 연구 단위에서 쓰이는 작은 면적용 공정인 스핀 코팅 방법의 경우 필름 형성 과정에서 필름을 빠르게 회전시켜 용매의 증발을 빠르게 진행시키기 때문에 이런 문제점 없이 고효율의 필름을 형성할 수 있다 이에 KIST 연구진은 대면적 용액공정 방식에서 코팅 공정 후 용매의 증발속도를 제어해 태양전지 성능에 최적화된 필름을 형성 고성능 대면적 유기태양전지를 개발했다 그 결과 기존보다 태양전지 광전변환효율이 30 상승한 9 6 의 고효율 대면적 유기태양전지 기술을 구현했다 손해정 박사는 고품질의 대면적 용액공정이 가능한 태양전지 소재의 핵심 디자인 원리를 제안함으로써 향후 용액공정 태양전지 개발이 가속화될 것으로 예상된다 라며 차세대 용액공정 태양전지의 고효율화뿐만 아니라 상용화에 필요한 대면적 제조를 위한 태양전지 소재의 핵심기술 개발에 기여했다 라고 밝혔다   
밀레니엄 목전에서 바라본 2020년 미래는 어떤 모습이었을까, 1999년 2000년 밀레니엄을 앞두고 바라본 2020년대 대한민국의 정보통신기술 ICT 과학기술은 어떤 모습일까 26일 과학기술정보통신부는 과학기술 미래전략 2045 를 발표했다 미래전략 2045 는 지금으로부터 25년 후인 2045년 대한민국의 미래모습을 실현해나가기 위한 과학기술의 중장기 정책목표와 방향성을 제시하기 위해 마련됐다 정부는 2045년에는 인간의 뇌 정복을 통한 뇌질환 극복 난치병 극복 우주여행 인공장기 식사용 알약 1일 세계 생활권 등이 가능해질 것으로 전망했다 정부의 과학기술 미래전략은 꽤 오래전 가동됐다 정부는 1999년에 2025년을 향한 과학기술발전 장기비전 을 2010년에는 2040년을 향한 대한민국의 꿈과 도전 과학기술 미래비전 등 10년 주기로 미래전략을 마련한 바 있다 그렇다면 아직 2025년이 오지 않았지만 1999년 밀레니엄을 앞둔 정부는 2020년대를 어떻게 전망했을까 첨단 과학 분야의 전략이지만 90년대 사회상을 반영하듯 보고서 첫 장을 펼치면 웬지 엄숙한 분위기를 풍기는 한자 漢字 들을 먼저 만나게 된다 2025년을 향한 科學技術發展 長期비전 꿈과 機會와 挑戰의 과학기술 科學技術部 長官 徐廷旭 과학기술부 장관 서정욱 보고서 전반에 걸쳐 한자가 곳곳에 난무하지만 내용은 미래지향적이다 새로운 천년을 맞이하면서 현 시점이 역사적 변곡점이 될 것으로 보았다 90년대말 2000년대초는 인터넷 보급이 본격화되던 시기다 PC방이 인기를 끌고 김대중 정부가 적극적으로 관련 산업 육성에 나서면서 벤처붐이 불던 시기였다 당시 정부는 2025년 과학기술경쟁력 7위 정보화지수 5위 경제성장기여도 30 기술교역지수 1 이상 연구개발투자 800억달러 연구개발인력 31만명 달성 등을 목표로 했다 당시 과학기술경쟁력 순위는 28위 정보화지수는 22위였다 연구개발투자는 128억달러에 그쳤다 90년대 정부가 예상한 2025년 대한민국 사회는 이렇다 정보통신기술 ICT 분야에서는 인터넷이 미래전망의 핵심이었다 주거 근무 학습 레저 취미활동 등 개인생활 전반에 걸쳐 성숙된 정보활용이 일상화되고 인터넷을 기반으로 하는 사이버사회가 도래할 것으로 보았다 전자정부가 구현되고 기업은 지식경영체제로 전환되며 인터넷투표와 사이버거래 네트워크화된 소비자활동과 시민모임 등 정치 경제 사회 전 부문에 걸쳐 정보화가 확산될 것으로 전망했다 산업 부문에서는 하드웨어 중심의 제조업이 21세기에는 지원산업화 되고 20세기 지원산업이었던 소프트웨어 콘텐츠 광고 오락산업 등이 전면에 부상할 것으로 예측했다 또한 인터넷 확산으로 의료진단 원격교육 오락 등의 새로운 서비스업이 등장하고 각종 정보제공업이 소형기업 형태로 등장할 것으로 보았다 유통의 개념도 하드웨어를 유통하는 물리적 유통업에서 정보를 유통하는 인터넷 방송 통신이 유통업의 주력으로 부상할 것으로 전망했다 정부는 2001 2020년 2011 2020년 2021 2030년으로 시기를 구분해 21세기 주요기술의 실현시기를 예측했는데 현 상황과 비교하면 맞지 않는 부분이 적지 않았다 21세기 첫 10년간에는 국경에 제약받지 않는 멀티미디어의 상호연결 가상현실 공간에서 회의도 동시에 할 수 있을 것으로 보았다 전자거래가 보급되고 해커 공격으로부터 보호되는 네트워크 시스템의 보급 수첩 크기의 컴퓨터를 통해 통신이 가능할 것으로 전망했다 또한 키보드가 거의 필요없는 컴퓨터 태양전지를 사용하는 휴대용 컴퓨터 한글 한자 영문필기체를 1초 이내에 99 인식하는 펜컴퓨터 사람의 음성과 표정을 자동 인식해 반응하는 컴퓨터가 개발될 것으로 예측했다 2020년까지는 컴퓨터를 이용한 업무 학습 쇼핑 출판 등이 일상화 될 것으로 보았다 또한 모든 암환자의 5년 생존율이 평균 70 를 넘고 암의 전이를 막는 수단이 실용화되고 알츠하이머 치매에 대한 치료법이 개발될 것으로 보았다 또한 최고속도 500km h의 초전도 자기부상열차의 실용화 진공관로 내에서 주행하는 수송수단 실현 50인승급 단거리 항공기 행성간 궤도비행을 위한 전기추진시스템도 개발될 것으로 예측했다 마지막으로 2021년 이후에는 기상천외한 수송시스템과 우주관련 기술들을 많이 볼 수 있을 것으로 전망했다 우주환경을 이용한 반도체나 약품 등의 상업생산용 우주공장이 실현되고 속도 마하3 정원 200 300인으로 태평양을 3시간 이내에 횡단하는 여객기가 개발되며 행성의 지하자원 탐사 시도 인간의 감정을 이해하는 인공지능칙 배갈 인간의 기억을 컴퓨터가 읽게 될 것으로 보았다 컴퓨팅 의료 우주 등의 분야에 대해서는 지나치게 앞서간 반면 인터넷 등 정보기술 분야에 대해서는 어느 정도 일치한 모습을 보였다 하지만 미래기술 예측은 쉽지 않은 것이 현실이다 일본 과학기술청이 1971년에 발표해 20년 후에 평가한 기술예측 조사의 적중률은 25 에 불과했다 기술 미달성의 이유는 30 가 기술적 어려움 70 는 사회 경제적 문제 미약한 추진력이 원인이었던 것으로 분석됐다 1981년 빌게이츠는 640kb면 모든 사람에게 충분한 메모리 용량 이라고 말한 바 있는데 대표적인 미래기술 전망 실패 사례로 거론된다 1998년 정부연구개발 예산은 2조4410억원이었다 올해 정부연구개발 예산은 20조원을 돌파했다는 점에서 꾸준히 발전해왔다는 점은 부인할 수 없다 한편 당시 정부는 생명공학에도 많은 관심을 기울였다 특히 생명복제 및 윤리에 관한 법령 정비와 생명윤리에 관한 사회적 가치관을 조속히 정립하겠다고 제시했다 당시 정부는 정보통신 재료 생명 의료 환경 에너지 등의 분과위원회를 구성해 전략을 마련했는데 아이러니하게도 당시 생명 의료 분과위원회의 위원장이 황우석 서울대 교수였다 당시 서정욱 과기정통부 장관은 부존자원은 부족하지만 높은 교육열과 풍부한 인적자원을 가진 우리나라로서는 과학기술 발전이야말로 작지만 강한 국가로 발돋움할 수 있는 가장 효과적인 전략적 수단이 될 것 이라고 강조했다   
"소부장 협력 플랫폼 출범…정부, 中企 검증·고객확보 지원", 신뢰성보험 출시 기업지원활성화 MOU 체결 소재 부품 장비 소부장 지원 플랫폼이 출범했다 검증과 고객확보 등을 지원한다 산업통상자원부 장관 성윤모 는 소부장 사업화 협력 플랫폼 발대식 을 개최했다고 27일 밝혔다 신뢰성보험 출시 및 기업지원활성화 업무협약 MOU 을 체결했다 자본재공제조합과 삼성화재는 신뢰성보험 상품을 운영키로 했다 수요기업이 구매한 소부장이 결함을 일으켰을 때 경제적 손실을 보상한다 수요기업 위험을 덜어준다 2021년 8월까지 시범기간이다 신뢰성인증과 양산성능평가를 받은 소부장 기업은 보험료를 50 지원한다 기업지원활성화 MOU는 공공연구기관 15개가 나섰다 보유 중인 시험평가 장비를 활용한다 장비 사용 수수료 감면과 기관 연계 서비스를 강화한다 기술개발사업 및 특화선도기업 등에 선정한 중소중견기업은 정상 장비사용료 50 를 감면한다 한편 정부는 소부장 사업화지원 사업 2단계를 실시한다 테스트베드 구축 신뢰성활용지원 양산성능평가를 돕는다 테스트베드는 2022년까지 구축한다 작년까지 104억원을 투입해 66종 장비를 구비하고 있다 올해 730억원을 더해 135종의 장비를 추가한다   
심해에서 우주간 통신…2045년 대한민국 과학기술 모습은?, 94세가 된 수영 씨는 얼마 전에 새로운 치아가 났다 오랜 세월 쓰이며 닳고 닳은 치아 재생 줄기세포를 통해 젊은 시절의 건강한 치아로 복원될 수 있었다 올해 26세가 된 2020년생 쌍둥이 지윤 씨와 도윤 씨는 각각 우주와 심해를 탐험하고 있다 지윤 씨는 화성의 우주 탐사로봇에서 도윤 씨는 심해 1만m 아래까지 잠수하는 심해유인잠수정에서 차세대 통신 기술을 통해 서로 교신을 시도할 예정이다 25년후인 2045년 대한민국은 어떤 모습일까 과학기술정보통신부 장관 최기영 이하 과기정통부 는 26일 열린 국가과학기술자문회의 심의회의를 통해 과학기술 미래전략 2045 를 발표했다 미래전략 2045 는 지금으로부터 25년 후인 2045년 대한민국의 미래모습을 실현해나가기 위한 과학기술의 중장기 정책목표와 방향성을 제시하기 위해 마련됐다 1999년에 수립한 2025년을 향한 과학기술발전 장기비전 과 2010년에 수립한 2040년을 향한 대한민국의 꿈과 도전 과학기술 미래비전 을 잇는 국가 과학기술 장기 전략이다 2045년 미래상 은 대국민 설문조사를 통한 미래에 대한 인식과 기대 메가트렌드 분석 등을 종합해 안전하고 건강한 사회 풍요롭고 편리한 사회 공정하고 차별 없는 소통 신뢰 사회 인류사회에 기여하는 대한민국의 네 가지로 제시했다 먼저 안전하고 건강한 사회를 위한 주요 과제로는 각종 재난재해에 대한 데이터 기반 관리 시스템을 구축하고 화재 해상사고 방사능유출 시 인명구조 사고현장복구 등을 자율적으로 수행하는 인공지능 AI 재난로봇 등을 개발하며 미세먼지 대응기술을 확보한다는 목표를 제시했다 또한 인간의 기대수명이 증가하고 건강한 삶을 연장하려는 욕구를 충족시키기 위해 난치병과 뇌질환을 극복하기 위한 도전도 이어질 전망이다 원하는대로 유전자를 고쳐 쓰거나 줄기세포 치료 등을 통해 암 유전질환 등 난치병을 극복하고 초소형 로봇으로 몸 속의 생체변화를 감지하여 질병을 예방하는 등 예방의료를 강화한다는 계획이다 풍요롭고 편리한 사회를 실현하기 위한 도전과제로는 로봇 인공장기 등을 통한 신체능력 보완 인공지능 고도화를 통한 사회난제 해결 등이 꼽혔다 또한 365일 24시간 무인으로 가동되는 농장 공장을 구현해 식량과 제조업의 혁신을 이뤄내고 태양관 청정수소 등으로 안정적인 에너지 확보 기술도 확보해야 할 것으로 분석됐다 이밖에 하이퍼루프 유인 우주왕복비행기 등을 통해 우주를 넘나들고 지상을 빠르게 주파해 새로운 경제사회적 가치를 창출할 수 있을 것으로 전망됐다 공정하고 차별 없는 소통 신뢰사회를 구현하기 위해서는 새로운 소통공간 가상현실 소통수단 뇌파통신 등을 확보하고 해킹 등에 대비해 온라인 네트워크의 신뢰성과 보안 강화가 과제로 지목됐다 고실감 3D 영상 홀로그램 등을 통한 가상현실 구현과 사람 기계 동물 간 뇌파통신이 가능해짐에 따라 모든 국민이 교육 문화 여가 등에 있어 색다른 경험을 향유할 수 있는 기회 제공을 목표로 제시했다 또한 통신데이터 위 변조 및 해킹위협에 대응하여 블록체인 양자암호통신 차세대 미래보안 기술 등을 기반으로 한 신뢰성이 높고 안전한 소통 네트워크 환경 구축도 필요한 것으로 분석됐다 마지막으로 인류사회에 기여하는 대한민국이 되기 위해 우주 심해 극지 등 미지의 공간을 개척해 희귀자원을 채취하고 탐사 연구를 수행하며 장기적으로 생활영역으로의 확장을 목표로 했다 장기적으로는 극한환경 생존기술 우주 해저도시 건설 우주생산 및 농업 기술 등을 통해 미지의 영역을 삶의 공간으로까지 확장시켜 나간다는 계획이다 정부는 이같은 목표를 달성하기 위한 과학기술 정책방향도 제시했다 과거처럼 인력 투자 인프라 등 국내 과학기술 생태계 요소의 양적 확충에 집중하기보다 각 요소를 질적으로 개선하고 지역 글로벌까지 전선을 넓혀 요소 간 연계를 강화하는데 초점을 뒀다 인재 양성에서 개인역량 발휘 지원으로 인재정책을 전환하고 추격을 위한 연구에서 도전과 창의적 연구로 바꿔나갈 계획이다 정부는 장기적으로 미래의 도전과제를 제시하고 고위험 대형연구에 집중투자하며 기업이 성장동력을 발굴해 세계시장을 선도할 수 있도록 R D 규제 실증 사업화 해외진출 등 혁신의 전 과정을 지원할 계획이다 또한 지방분권의 취지를 살려 지자체에 중앙정부 수준의 과학기술 추진체계를 구축하여 지역 중심의 혁신을 주도하고 지역별로 특성화된 혁신목표를 가장 잘 구현할 지역 산학연 협업체계를 통해 지역 대표산업 육성 지역사회 문제해결 일자리 창출 등을 추진할 방침이다 과기정통부는 과학기술기본계획 국가R D 중장기 투자전략 등 5년 단위의 중단기 전략 계획 수립 시 미래전략 2045 를 기본 지침서로 활용해 전략의 실효성과 실행력도 확보할 계획 이라며 일반국민을 대상으로 쉽게 서술한 홍보용 책자 배포 등 국민들에게 전략을 널리 홍보 확산할 예정 이라고 밝혔다   
데이터 결합 길 열렸다··· 개인정보보호법 세부규정 의결, 개인정보보호법의 영향을 받는 데이터결합전문기관 지정에 대한 제도적 기반이 마련됐다 신용정보법에 의해 금융위원회가 데이터결합전문기관으로 금융보안원을 지정해 데이터 결합을 하는 가운데 이어진 조치로 본격적인 데이터 결합의 길이 열렸다 26일 개인정보보호위원회 이하 개보위 는 26일 가명정보의 결합 및 반출 등에 대한 고시 를 의결했다 해당 고시는 개정 개인정보보호법 위임에 따라 가명정보의 결합을 수행하는 결합전문기관 지정과 결합절차 및 방법 등에 대한 내용을 담았다 가명정보 결합 세부기준과 절차가 마련됨에 따라 이종산업간 데이터 융합과 활용이 가능해질 전망이다 고시의 주요 내용은 안전한 데이터 활용의 인프라 역할을 수행할 결합전문기관 지정을 위한 지정 기준과 심사 절차 구체화 가명정보의 안전한 결합 반출을 위해 필요한 결합 방법과 절차 반영 가명정보 결합 환경 조성을 위한 개보위 역할 명시 등을 골자로 한다 고시에 따르면 가명정보 결합전문기관은 가명정보 결합이 안전하게 이뤄질 수 있도록 인력 시설 재정 요건을 충족해야 한다 또 개보위와 관계 중앙행정기관의 장이 전문가 5명으로 구성된 지정심사위원회를 구성해 심사하고 심사 후 지정서를 발급하는 방식이다 일각에서 우려하는 가명정보 결합 과정에서의 개인정보 유출을 막기 위해 개인 식별가능정보 등을 이용해 생성되는 키는 결합키관리기관인 한국인터넷진흥원 KISA 만 접근 가능하도록 했다 결합 신청자가 결합정보를 반출하기 위해서는 반출심사위원회를 통해 승인 여부를 심사받아야 한다 결합키관리기관과 결합전문기관은 결합 과정에서 생성된 자료가 불필요해질 경우 해당 자료를 파기하도록 하는 안전장치도 마련했다 개보위는 관계 중앙행정기관과 합동으로 가명정보 결합체계 협의회를 구성해 분야별 특수성을 반영한 정책 추진을 이어갈 예정이다 반출심사위원에 대한 교육과 가명정보 결합 반출 과정의 진행을 지원하기 위한 온라인시스템을 운영한다 고시는 유예기간 없이 오는 9월 1일 관보에 게재되는 즉시 시행된다 고시 시행과 동시에 개보위와 관계 중앙행정기관은 고시의 절차에 따라 결합전문기관을 지정할 수 있게 된다 결합전문기관 지정신청 접수를 위한 공고는 9월 1일부터 할 예정이다 윤종인 개보위 위원장은 데이터 생태계 조성의 핵심 역할을 수행할 가명정보 결합의 제도적 기반이 마련돼 데이터에 기반한 디지털 혁신과 정보보호가 균형 있게 이뤄질 수 있을 것으로 기대된다 며 가명정보 결합 제도가 신속히 정착될 수 있도록 가이드라인 발간을 9월 초 추진하고 결합체계 협의체 구성과 결합 지원 시스템 구축 등 후속 작업을 차질 없이 진행하겠다 고 말했다   
방통위 부위원장에 김현 상임위원, 방송통신위원회는 26일 제46차 위원회를 열고 김현 상임위원을 방송통신위원회 전반기 부위원장으로 선출했다고 밝혔다 김현 부위원장의 임기는 8월 26일부터 2022년 1월 31일까지이다 후반기 부위원장은 대통령이 속하지 않은 국회 교섭단체에서 추천받은 상임위원이 맡기로 했다 김현 부위원장은 다양한 경험과 역량을 살려 여러 위원님들과 긴밀하게 소통하면서 시대 변화에 부응하여 방송통신 분야의 발전에 기여하는데 최선을 다해 국민이 체감하는 성과를 낼 것 이라고 소감을 밝혔다   
"과기정통부, 비대면 비즈니스 디지털혁신 기술개발 사업 추진", 과학기술정보통신부 장관 최기영 이하 과기정통부 는 지난 7월 발표한 디지털 뉴딜 계획 에 따라 3차 추경으로 반영한 비대면 비즈니스 디지털혁신 기술개발 사업의 수행기관 선정과 협약을 모두 완료하고 해당 과제를 본격 추진한다고 밝혔다 이번 사업은 코로나19로 촉발된 비대면 서비스의 확산에 따라 사회ㆍ경제전반에 걸친 디지털 전환에 대응하기 위한 국내 기업의 경쟁력 강화 및 시장 선점을 목적으로 하고 있다 이에 따른 비대면 서비스 정보통신기술 ICT 분야 핵심기술 개발 20개ㆍ과제당 15억원 18개월 비대면 서비스 사업화 지원 R D 바우처 20개ㆍ과제당 3 5억원 12개월 등 총 40개 과제 370억원 규모로 추진한다 먼저 비대면 서비스에 필요한 ICT 핵심기술 개발을 지원하는 기술개발 과제는 기업 13개 연구기관 6개 대학 1개 기관이 선정됐다 또한 기업이 필요로 하는 기술을 출연연 등을 통해 맞춤형으로 개발해 신속한 제품개발 사업화를 지원하는 R D 바우처 과제는 국민이 체감할 수 있는 서비스를 발굴하는데 초점을 맞추었다 유비마이크로 비전세미콘 등 20개 중소 중견기업이 선정됐다 과기정통부 오상진 정보통신산업정책관은 코로나19로 인한 비대면 서비스 확산과 디지털 전환 가속화 등 경제사회 구조의 대전환은 디지털 역량의 중요성을 재확인하고 있는 상황 이라며 이러한 상황이 우수한 정보통신기술 역량을 보유한 우리에겐 오히려 새로운 기회가 될 수 있는 만큼 기업들이 비대면 비즈니스에서 경쟁력을 확보하고 시장을 선점해 나갈 수 있도록 적극 지원할 것 이라고 밝혔다   
"과기정통부, 산학연 협력활성화 위한 현장소통 간담회 개최", 과학기술정보통신부 장관 최기영 이하 과기정통부 는 산학연협력활성화지원사업을 수행하는 주관기관 책임자와 사업 성과를 공유하고 애로사항을 청취하기 위해 산학연 협력 활성화를 위한 현장소통 간담회 를 개최했다고 25일 밝혔다 과기정통부는 지역경제 활성화를 유도하는 산학연협력활성화 지원사업을 2002년부터 현재까지 추진 중이다 특히 산학연공동연구법인지원사업은 2012년도부터 현재까지 18개 법인 설립과 운영을 통해 신규고용 218명 투자유치 528 6억원 등의 성과를 달성한 바 있다 이번 간담회는 산학연협력활성화지원사업에 참여 중이거나 참여 경험이 있는 기관의 연구책임자를 초청해 그 간의 사업성과를 공유하고 현장 의견을 청취하고자 마련된 자리로 참석자들이 자유롭게 토론하는 방식으로 진행됐다 주요 현장의견으로는 창업지원 전문가 연계 및 산학협력단 등 중간조직의 역할과 역량 강화를 통해 대학 출연연 내 연구자들이 창업에 뛰어 들 수 있는 환경 조성과 더불어 기술사업화 이후의 성장지원을 위한 후속 프로그램 확대 등 산학연협력활성화를 위한 중장기적인 정책 필요성이 제시됐다 과기정통부 권석민 과학기술일자리혁신관은 대학 연구소 기업 등 혁신 주체간의 협력을 통한 기술사업화 성과는 국가 혁신성장의 추진동력 이라며 향후 현장의 애로사항을 해결할 수 있도록 산 학 연 협력 활성화를 위한 제도 개선 등 다양한 방법을 강구하겠다 라고 밝혔다   
