"""이러다 디지털식민지 된다""…구글 인앱결제 강제에 우려 고조","구글이 애플처럼 모든 앱에 인앱결제(앱 내 결제)와 결제 수수료 30%를 강제하면 콘텐츠 산업 생태계가 타격을 입을 뿐 아니라 소비자들의 부담까지 증가할 거라는 학계 우려가 나왔다. 김정환 부경대 신문방송학과 교수는 한국미디어경영학회가 27일 오전 서울 종로구 센터포인트에서 개최한 '구글의 앱 마켓 정책 변경과 로컬 생태계' 특별 세미나에서 이렇게 발표했다. 김 교수가 인용한 한국모바일산업연합회 자료에 따르면 국내 모바일 콘텐츠 시장에서 발생하는 매출의 65%가량을 구글이 가져가고 있다. 애플이 25%, 원스토어가 10%가량의 비중을 차지한다. 구글과 애플은 인앱결제 매출의 30%를 수수료로 떼간다. 다만 구글은 애플과 달리 그동안 게임 앱에만 인앱결제를 강제해왔다. 음악·웹툰 등 게임 외 콘텐츠는 자체 결제 수단을 허용했다. 그러나 최근 구글도 애플처럼 결제 정책을 바꿔서 모든 앱에 인앱결제를 강제하고 수수료 30%를 떼는 방안을 검토 중이다. 이에 콘텐츠·IT 업계에서는 ""사실상 '앱 통행세' 아니냐""며 크게 우려하고 있다. 한국인터넷기업협회·코리아스타트업포럼은 방송통신위원회에 국내법 위반 여부를 검토해달라고 요청했고, 과학기술정보통신부는 실태조사에 나서기로 했다. 김정환 교수는 구글이 결제 정책을 애플처럼 변경하면 국내 콘텐츠 시장에 어떤 영향을 미칠지를 콘텐츠·게임업체 12곳과 인터뷰해 분석했다. 조사 결과 콘텐츠 사업자들은 수수료 부담이 늘어나면 그 비용을 소비자에게 전가할 수밖에 없다고 보는 것으로 나타났다. 김 교수는 ""구글의 정책 변경은 생태계 내 부익부 빈익빈을 가속할 것""이라며 ""사업자들이 수익에 타격을 받는 부분은 고스란히 가격에 연동될 것이다. 콘텐츠 사업자에게 부과된 수수료가 이용자에 그대로 전가될 가능성이 100%""라고 우려했다. 콘텐츠 사업자들은 시장 영역에서 글로벌 기업 구글에 개별적으로든 공동으로든 대응하기는 어려우므로, 정부의 개입이 필요하다고 보고 있었다. 김 교수는 ""사업자들은 '디지털 식민지'가 되기 전에 공정거래위원회 등 정부가 참여해야 한다고 답했다""면서 ""규제 관점에서 보면 국내 기업에 대한 '역차별'이라는 시각도 있다""고 지적했다. 그는 ""결국 애플과 다르게 개방적 정책을 표방하면서 시장 내 지위를 확보했던 구글이 책임감 있게 접근해야 할 문제로 보인다""며 ""공정위가 구글 자사 앱 선탑재 문제 등을 같이 조사하는 등 관계 부처의 협동 작전도 필요하다""고 제언했다. 정윤혁 고려대 미디어학부 교수는 만 14∼49세 남녀 508명을 설문조사하고 7명을 심층인터뷰(FGI)해 분석한 '구글 앱 마켓 정책에 대한 이용자 인식' 연구 결과를 발표했다. 조사 참여자들은 모바일 앱에 한달 평균 2만830원을 지출하고 있다고 답했는데, 모바일 콘텐츠 가격 인상은 10% 미만(78.3%)이나 20% 미만(10.3%)일 경우에만 수용할 수 있다고 답한 비율이 높았다. 모바일 콘텐츠 가격이 너무 많이 오를 경우 '앱을 지우겠다'(37.8%), '다른 앱을 찾겠다'(33.3%)며 해당 콘텐츠를 이탈하겠다고 답한 참여자가 많았다. 콘텐츠 이용자들 역시 구글의 30% 수수료는 과도한 편(86.7%)이라고 반응했으며, 구글의 정책 변경이 '공정하지 않다'고 답한 비율(59.8%)이 '공정하다'는 비율(8.9%)보다 7배 많았다. 구글 수수료 정책에 제재가 '필요하다'는 비율(58.5%)이 '필요 없다'는 비율(12.5%)보다 약 5배 많았고, 참여자의 59.4%가 정부의 개입이 필요하다고 답했다. 경제학자인 문성배 국민대 교수는 토론에서 ""인앱결제를 강제하면 구글·애플이 소비자 구매 정보를 다 가져가서 유사 앱이나 서비스를 출시하는 탓에 잠재적 개발자의 시장 진입이 제한될 수 있다""면서 ""모바일·PC·TV를 넘나드는 '끊김없는 서비스' 혁신 추세도 지장을 받을 수 있다""고 우려했다."
강하고 유연한 불가사리 로봇 개발…소프트 로봇 미래 기대,"울산과학기술원(UNIST) 연구진이 유연하면서도 강인한 '소프트 로봇'을 만드는 기술을 개발했다. 김지윤 신소재공학부 교수팀은 건축물에 쓰이는 텐세그리티 구조(tensegrity structure)를 쉽게 구현할 수 있는 방법을 고안, 움직이는 '불가사리' 로봇을 제작했다고 27일 밝혔다. 흔히 로봇이라고 하면 영화에서 보는 강철 로봇이나 산업현장에서 사용되는 금속 팔 로봇을 떠올리기 쉽다. 그러나 최근에는 간병 로봇이나 애완용 로봇 같은 새로운 형태의 로봇이 떠오르고 있다. 일상생활에서 함께하는 로봇은 부드럽고 유연한 특성이 필요하다. 이 때문에 유연한 재료로 만들어진 소프트 로봇에 대한 관심이 높지만, 재료 자체의 부드러운 특성에만 의존하면 복잡한 로봇의 구동 시스템을 구현하기 어렵다는 한계가 있다. 연구진은 강인하면서도 유연한 텐세그리티 구조를 다양한 소프트 로봇 디자인에 적용하는 방식을 개발했다. 주로 건축물에 쓰이는 텐세그리티 구조는 장력(팽팽하게 당기는 힘)을 가하는 그물 구조의 구성부품(tendon·인장재)과 내부에 장력으로 인한 압축을 견디는 구성부품(strut·압축재)들이 서로 떨어진 채 끼워져 있는 형태다. 다시 말해 강인한 재료와 유연한 재료가 씨줄과 날줄처럼 엉켜 있어, 강도와 유연성을 모두 얻을 수 있다는 장점이 있다. 서로 다른 특성을 갖는 물질들이 공중에서 연결된 구조여서, 일반적인 3D 프린팅 제작 기법을 이용해서는 텐세그리티 구조가 적용된 로봇을 만들기는 어렵다.불가사리 로봇을 개발한 연구진. 왼쪽부터 김지윤 교수, 이하준·장연우 연구원.  이에 연구진은 3D 프린팅 기법과 물에 녹을 수 있는 수용성 희생틀을 이용, 복잡한 텐센그리티 구조를 구현하는 방법을 고안했다. 3D 프린터를 이용해 큰 하중을 견딜 수 있는 재료(압축재)와 희생틀을 프린팅한 뒤, 희생틀 내부에 유연한 재료(인장재)를 삽입하는 방식이다. 희생틀은 물에 녹기 때문에 쉽게 제거할 수 있다. 연구진은 이런 방법으로 정육면체, 도넛, 삼각기둥 등 다양한 형상의 텐세그리티 구조를 만들었다. 또 만들어진 구조체를 기본 모듈로 사용해 5개의 다리가 달린 불가사리 로봇을 제작했다. 전기로 구동하는 이 불가사리 로봇은 앞으로 걷거나, 움직이는 방향을 바꾸는 동작을 할 수 있다. 여기에 외부 자극에 따라 스스로 움직이는 스마트 소재를 적용하면, 스스로 움직이는 불가사리 로봇도 만들 수 있다. 연구진은 스마트 자성 소재를 적용해 스스로 움츠렸다 펴지는 불가사리 로봇도 만들었다. 김 교수는 ""텐세그리티 구조 특성을 이용하면 재료만으로는 만들기 어렵고 자연계에 존재하지 않는 다양한 메타 구조체를 만들 수 있다""라면서 ""이번 연구는 텐세그리트 구조를 쉽고 빠르게 원하는 형태로 구현하는 기법을 개발한 것에 의의가 있으며, 앞으로 다양한 형상과 기능을 갖는 소프트 로봇 개발에 큰 도움이 될 것""이라고 기대했다. 이번 연구는 로봇 분야 권위 있는 국제 학술지인 '사이언스 로보틱스'(Science Robotics) 26일 자 온라인에 게재됐다."
군 복무하며 SCI 14편 등 26편 발표…권현 소령 KAIST 박사 졸업,"""몸에 밴 규칙적인 생활 습관과 야전에서 작전 수행하듯 단기 목표를 정해 추진하는 방식이 연구에 도움이 됐습니다."" 육군 위탁 교육생으로 2017년 한국과학기술원(KAIST) 전산학부 박사과정에 입학했던 권현 소령(진급대상)이 3년 만에 졸업했다.  27일 KAIST에 따르면 권 소령은 28일 열리는 '2020 온라인 학위수여식'에서 박사과정 졸업생 명단에 이름을 올렸다.  권 소령은 인공지능·뉴럴 네트워크 등을 포괄하는 머신러닝 사이버 보안과 시스템 보안 분야를 연구해 왔으며, 박사과정 3년 동안 12편의 주 저자 논문을 포함해 14편의 SCI(E)급 논문을 발표했다.  미국 군사 분야 학회인 '밀컴'(Milcom 2018), 컴퓨터 보안 분야 학회인 'ACM CCS 2019' 등 권위 있는 학술 대회에서도 12편의 논문을 발표했다.  권씨는 ""아침밥만 먹고 출근해 종일 연구실에서 시간을 보내고, 자정을 넘어 기숙사에 돌아와 그대로 뻗는 '좀비' 같은 생활을 반복해 왔다""며 ""10여년간 군인으로 살아오며 익숙해진 생활 방식이 연구의 원동력이 됐다""고 말했다. 그는 군 위탁생 최초로 2018년 '네이버 박사 펠로우십 어워드', 올해 'KAIST 박사학위 우수논문상' 등을 수상했다.  지난 2월 박사과정을 마무리한 뒤 이달부터 육군사관학교 전자공학과 조교수로 재직 중이다. 그는 ""하고 싶었던 연구를 원 없이 해볼 수 있어 감사한 시간이었다""며 ""앞으로 의료 데이터를 이용한 보안 문제 연구, 최신 딥러닝 모델에 대한 보안 취약점 분야 연구 등을 진행할 계획""이라고 말했다.  2017년 회사의 학술연수 프로그램을 통해 KAIST 전기·전자공학부에 입학했던 김정훈(40) 씨도 3년 만에 석사 학위를 받는다. 학위수여식은 당초 지난 2월 개최될 예정이었으나 신종 코로나바이러스 감염증(코로나19) 사태로 연기됐다가 6개월 만에 온택트 방식으로 진행된다.  행사는 졸업생 대표와 보직 교수, 진행 요원 등 110여명이 참석한 가운데 대전 본원 대강당과 창의학습관 터만홀, 학술문화관 정근모 콘퍼런스홀 등 3곳에서 나눠 열린다. 졸업식은 학교 공식 유튜브 채널을 통해 생중계된다."
"주옥순 ""은평구청장, 내 실명과 동선 무단 공개"" 검찰에 고소","보수 성향 단체 '엄마부대' 주옥순 대표가 자신의 실명과 동선을 인터넷에 공개했다며 서울 은평구청장을 검찰에 고소했다. 주 대표는 27일 연합뉴스와의 통화에서 ""오늘 오전 서울서부지검에 김미경 은평구청장과 은평구청 직원을 명예훼손, 공무상비밀누설 혐의로 고소했다""며 ""고소장은 우편으로 제출했다""고 밝혔다. 앞서 은평구청은 지난 22일 130번과 131번 환자의 감염 경로에 '경기도 확진자 접촉'이라고 표기하면서 주 대표의 실명을 공개했다. 이에 의도적으로 실명을 공개했다는 논란이 일었고, 구청 측은 이후 주 대표의 이름을 삭제했다. 주 대표는 전날 오전 자신의 유튜브 채널 라이브 방송에서 ""은평구청장이 문재인 대통령에게 아부하기 위해 실명을 거론했다""고 반발하며 ""이 문제는 반드시 짚고 넘어가겠다""고 법적 대응을 예고했다. 한편 경기도는 주 대표 부부를 감염병예방법 위반 혐의로 전날 경기 가평경찰서에 고발했다고 이날 밝혔다. 주 대표 부부는 지난 15일 서울 광화문 집회에 참석한 뒤 신종 코로나바이러스 감염증(코로나19) 확진 판정을 받았는데도 동선을 허위로 진술하거나 진술을 기피하는 등 역학조사에 제대로 협조하지 않은 혐의를 받는다. 주 대표 부부는 지난 20일 남편과 함께 가평군 설악면에 있는 선별진료소에서 진단 검사를 받은 뒤 코로나19 확진 판정을 받고 경기도의료원 이천병원에서 치료 중이다."
" ""고효율 유기태양전지 대면적 제작 용액공정 개발""","국내 연구진이 유기태양전지를 용액공정을 통해 대면적으로 제작할 때 효율이 떨어지는 원인을 규명하고, 이를 해결할 수 있는 공정을 개발해 고효율 유기태양전지를 대면적으로 제작하는 데 성공했다.  한국과학기술연구원(KIST) 광전하이브리드연구센터 손해정 박사팀은 27일 유기태양전지 소재를 용액공정으로 작은 면적과 큰 면적의 필름으로 만들 때 차이점을 규명하고, 대면적 제작 시 나타나는 효율 저하 문제를 공정을 통해 해결하는 고효율 유기태양전지 대면적화 기술을 개발했다고 밝혔다. 유기태양전지(Organic Photovoltaics)는 탄소 기반의 전도성 광흡수 유기재료를 사용해 만든 태양전지로, 페인트처럼 만들어 필름으로 제작하거나 건물이나 자동차 등 원하는 공간에 칠하는 방식으로 태양전지를 만들 수 있어 활발히 연구되고 있다.  유기태양전지 소재를 용액으로 만들어 코팅 방식으로 태양전지를 제작하는 용액공정 태양전지는 전기를 생산하는 활성 영역 면적이 0.1㎠ 정도로 머물러 있으며, 이를 넓은 면적으로 제작하면 소재와 공정의 한계로 성능이 크게 떨어지는 문제가 있다. 연구팀은 이 연구에서 상용화된 유기태양전지 소재가 용액 상태에서 굳으면서 필름을 형성할 때 쉽게 결정화되는 성질이 있어 대면적 용액공정에 부적합하다는 사실을 밝혀냈다.  산업용으로 쓰이는 대면적 용액공정은 유기태양전지 소재가 녹아 있는 용매가 증발해 필름이 형성되는 속도가 느리기 때문에 태양전지 소재의 뭉침 등 현상이 일어나 광전변환 효율이 떨어진다는 것이다.  실험실 연구 단위에서 쓰이는 스핀 코팅 방법은 필름을 빠르게 회전시키기 때문에 용매가 빨리 증발해 태양전지 소재의 뭉침 현상 등이 없어 고효율 필름 제작이 가능하지만 0.1㎠ 정도의 작은 면적만 만들 수 있는 한계가 있다고 연구팀은 설명했다. 연구팀은 이 결과를 바탕으로 용매의 특성을 조절하고 공정 온도를 50℃로 높여 용매 증발속도를 제어하는 롤투롤(roll-to-roll) 대면적 용액공정을 개발, 고효율 유기태양전지를 58.5㎠ 대면적으로 제작하는 데 성공했다.  이렇게 제작한 대면적 고효율 유기태양전지는 광전변환효율이 9.6%로 스핀 코팅 방식과 비슷하고 기존의 상온 롤투롤 방식을 적용했을 때보다는 30% 높아졌다.  손해정 박사는 ""이 연구는 상용화에 가까운 신뢰성 있는 고효율 대면적 유기태양전지 소재 개발 원리를 규명하고 공정기술을 개발한 것""이라며 ""실용화되면 페인트처럼 칠하는 방법으로 공간 제약 없이 태양전지를 제작하는 것도 가능할 것""이라고 말했다.  이 연구 결과는 에너지 분야 국제학술지 '나노 에너지'(Nano Energy) 최신호에 게재됐다. "
에스오에스랩 라이다 장치 특허기술상 세종대왕상 수상,"올해 상반기 특허기술상 시상에서 장준환 에스오에스랩 최고기술책임자(CTO) 등이 발명한 '라이다(LiDAR) 장치'가 최고상인 세종대왕상을 받게 됐다. 특허청은 상반기 특허기술상 수상작으로 5건을 선정했다고 27일 밝혔다. 라이다는 자율주행차의 눈에 해당하는 핵심 기술로, 레이저를 이용해 물체의 거리와 형상을 인식한다. 세종대왕상을 받는 특허는 라이다의 소형화·경량화가 가능하고, 장거리 측정과 고해상도 측정에 유리한 구조로 돼 있어 자율주행차에 매우 적합하다는 평가를 받았다. 충무공상에는 김형환 SK하이닉스 부사장 등이 발명한 '소자 분리막을 구비한 반도체 장치, 이를 구비한 전자장치 및 그 제조 방법'이 선정됐다. 지석영상에는 김영식 한국표준과학연구원 책임연구원 등의 '복합 패턴을 이용한 초고속 편향 측정법을 이용한 자유곡면의 3차원 형상측정시스템'과 김종철 멕 아이씨에스 대표의 '인공호흡기 자동 제어 방법'이 선정됐다. 홍대용상에는 장민제 루닛 연구원의 '이미지 분석 방법 및 시스템'이 선정됐다.  수상자에게는 상금·트로피와 함께 발명장려사업 선정 우대 혜택과 마케팅 지원을 위해 특허기술상 수상 마크도 부여한다. 박종주 특허청 특허심사기획국장은 ""포스트 코로나 시대의 미래 경쟁력은 혁신적인 발명에서 나온다""며 ""특허기술상이 발명자의 사기를 진작시키고 발명 문화를 확산하는 데 기여하기를 바란다""고 말했다."
"국립중앙과학관, 9월 1∼27일 온라인 수학체험전 개최","대전 대덕연구개발특구 내 국립중앙과학관은 9월 1일부터 9월 27일까지 수학과 과학을 주제로 하는 '2020 온라인 중심 수학체험전'을 연다고 27일 밝혔다.  전국 중·고·대학교 수학동아리들이 기획한 수학체험 콘텐츠와 과학 유관기관, 국립중앙과학관 등이 기획한 체험 콘텐츠를 온라인에서 접할 수 있다. 행사 기간 EBS 강사가 진행하는 수학강연과 레이저로 펼치는 문화 공연도 열린다. 자세한 내용은 수학체험전 홈페이지(www.수학체험전.kr)에서 볼 수 있다."
"소부장 기업 55% ""글로벌 공급망 재편으로 경영 어려움 전망""","소재·부품·장비 산업 분야 기업의 절반 이상이 미·중 무역 갈등과 일본 수출규제 등으로 인한 글로벌 공급망(GVC) 재편으로 앞으로 2~3년간 경영에 어려움이 생길 것으로 전망했다.  다만 이들은 지난 1간 국내 소부장 산업의 경쟁력이 강화됐으며 현 상황을 경쟁력 강화 기회로 인식해 정부가 R&D 세제지원을 확대해 주기를 바라는 것으로 조사됐다. 한국산업기술진흥협회(산기협)는 7월 17∼30일 소재·부품·장비 산업 분야 연구소 보유기업 439개사(대·중견기업 22개, 중소기업 417개)를 대상으로 실시한 '글로벌 공급망 변화에 따른 소재·부품·장비 기업 R&D 대응 현황조사'에서 이런 결과가 나왔다고 27일 밝혔다.  응답 기업의 55.2%는 글로벌 공급망 재편으로 기업경영에 부정적 영향이 있을 것으로 예측했다. 영향이 지속하는 기간에 대해서는 '2∼3년'이라는 응답이 41.2%였고, '5년 이상'이라는 응답은 20.3%였다. 규모별로는 대·중견기업 68.2%가, 중소기업 48.7%가 글로벌 공급망 재편으로 3년간 기업 경영에 영향을 받을 것으로 전망했다.  기업들은 글로벌 공급망 재편에 따른 어려움으로 '원자재 수급 애로 및 생산가동 중단 지연(40.5%)', '수출입 지연 및 중단(31.4%)' 등을 꼽았다.  이를 극복하기 위해 '국내 대체 공급선 확보(27.6%)'와 '자체 R&D를 통한 국산화(21.4%)'에 노력을 기울이는 것으로 나타났다. 대응 방안으로 대·중견기업은 '국외 대체 공급선 확보(40.9%)','국내 대체 공급선 확보(27.3%)'를 꼽았고, 중소기업은 '국내 대체 공급선 확보(27.5%)'와 '자체 R&D를 통한 국산화(22.3%)'로 응답해 글로벌 공급망 재편 상황을 기술력 확보 기회로 활용하려는 경향을 보였다. 지난 1년간 국내 소부장 산업 기술경쟁력 변화에 대해서는 전체 응답 기업의 69.7%가 기술경쟁력이 강화됐다고 답했다. 기술경쟁력 강화요인으로는 '정부의 소부장 관련 기술 R&D 지원 정책 강화(58.5%)'와 '소부장 관련 기술확보의 중요성 인식조성(41.7%)', '공급기업의 자발적 R&D 강화(32.8%)' 등을 들었다.  기업들은 정부의 소부장 R&D 대책 중 '세제지원(83.2%)', '기술개발과제 지원(78.6%)', '인프라 지원(66.5%)' 순으로 유용하다고 응답했다. 반면 응답 기업 57.2%가 소부장 산업 경쟁력 강화 정책을 알고 있음에도 활용하지 않는다고 답했다. 활용하지 않는 이유는 '지원 조건 까다로움(36.4%)', '정책에 대한 정보 부족(24.3%)' 등 순이었다. 마창환 산기협 상임부회장은 ""GVC 재편은 우리 기업이 경쟁우위 부분에서 격차를 벌리고 경쟁력이 약했던 부분에서 글로벌 경쟁력을 회복하는 기회가 될 수 있다""며 ""중소기업 R&D 질적 성장과 기업 R&D 기획 지원으로 시장 기술개발을 도울 것""이라고 말했다. "
명품 등 다국적기업 21곳 세무조사…넷플릭스·요기요 포함된듯,"＃ 유명 다국적기업의 국내 자회사 A는 외국 관계사로부터 제품을 수입하여 판매하고, 외국의 모회사와는 경영자문용역 계약을 체결했다.  국내 법령과 국제 조세기준에 따라 경영자문료가 사업비용으로 인정받으려면 사업 활동의 수익성을 향상할 것으로 기대되는 자문용역이 실제로 제공돼야 하고, 용역 대가도 적정한 수준이어야 한다.  그러나 국내 자회사 A는 해외 모법인이 제공한 영역에 비해 터무니없이 많은 수백억원 규모 경영자문료를 매년 지급했다.  또 외국 관계사로부터 제품을 수입할 때에도 정상가격보다 고가를 지불했다.  국세청은 A사가 국내 소득을 부당하게 국외로 이전하고, 소득을 축소해 법인세를 회피한 것으로 판단하고, A사에 대해 세무조사를 벌여 최근 법인세 등 수백억원을 추징했다.  ◇ 다국적기업 21건 세무조사 착수…명품업체 여럿 포함, 넷플릭스·요기요도 포함된 듯  국세청은 A사와 유사한 다국적기업의 조세 회피 혐의 21건에 대해 세무조사에 착수했다고 27일 발표했다.  특히 이번 조사에는 코로나19 사태 속에서 매출이 급증한 온라인 플랫폼과 해외 고가브랜드 이른바 '명품' 브랜드를 판매하는 다국적기업의 국내 자회사도 여럿 포함됐다.  고가 브랜드의 국내 법인 B사는 국내에 내는 세금을 줄이려고 외국 본사에서 수입하는 제품 가격을 지나치게 높게 책정하고, 국내 판매가격도 반복적으로 인상했다.  다른 브랜드의 국내 자회사 C는 모법인에 지급하는 로열티에 대한 세금 원천징수를 회피하고자 로열티를 제품가격에 포함해 따로 로열티를 지급하지 않는 것처럼 거래구조를 조작한 혐의를 받는다.  국세청에 따르면 조사 대상에 포함된 온라인 플랫폼 D사는 경영자문 용역이 없었는데도 외국 모법인에 경영자문료 명목으로 수백억원을 지급하는 수법으로 국내 자회사에 적자를 내게 만들었다. 이에 따라 D사는 국내에서 벌어들인 소득을 세금 없이 국외로 이전한 혐의를 받는다.  또 다른 온라인 플랫폼 E사는 모회사에 지급하는 로열티 등 국내 과세(원천징수) 대상 소득을 조세조약상 국내 과세 대상이 아닌 일반사업소득으로 위장해 수백억원을 지급함으로써 세금을 회피한 정황이 포착됐다.  이와 관련해 온라인 동영상 서비스(OTT) 넷플릭스의 한국법인 넷플릭스서비시스코리아와 배달 플랫폼 요기요를 운영하는 독일에 본사를 둔 딜리버리히어로의 자회사 딜리버리코리아에 대한 세무조사가 전날 시작된 것으로 업체를 통해 확인됐다.  넷플릭스 한국법인은 미국 본사에 경영자문료를 지급하는 식으로 세금을 회피하면서 국내 수입을 해외로 이전한 혐의를 받는 것으로 알려졌다. 본사가 특별한 경영자문을 하지 않았는데도 국내 자회사가 거액의 자문료를 지급하고 적자를 냄으로써 법인세를 납부하지 않고 국내 수익을 미국 본사에 안겼다는 것이다.  국세청은 딜리버리히어로 코리아가 코로나19 확산으로 매출이 증가한 상황에서 조세조약상 과세 대상이 아닌 소득으로 위장해 세금 납부를 회피한 의혹이 있는지를 살펴보는 것으로 알려졌다. 그러나 국세청은 개별 납세자 정보라는 이유로 이들 두 업체가 이번 21건 세무조사 대상에 포함됐는지에 대해 공개하지 않았다. "
"""구글 앱 통행세 30% 강제되면 국내 산업·소비자 모두 타격""","구글이 애플처럼 모든 앱에 인앱결제(앱 내 결제)와 결제 수수료 30%를 강제하면 콘텐츠 산업 생태계가 타격을 입을 뿐 아니라 소비자들의 부담까지 증가할 거라는 분석이 나왔다. 김정환 부경대 신문방송학과 교수는 한국미디어경영학회가 27일 오전 서울 종로구 센터포인트에서 개최한 '구글의 앱 마켓 정책 변경과 로컬 생태계' 특별 세미나에서 이렇게 발표했다. 김 교수가 인용한 한국모바일산업연합회 자료에 따르면 국내 모바일 콘텐츠 시장에서 발생하는 매출의 65%가량을 구글이 가져가고 있다. 애플이 25%, 원스토어가 10%가량의 비중을 차지한다. 구글과 애플은 인앱결제 매출의 30%를 떼간다. 다만 구글은 애플과 달리 그동안 게임 앱에만 인앱결제를 강제해왔다. 음악·웹툰 등 게임 외 콘텐츠는 자체 결제 수단을 허용했다. 그러나 최근 구글도 애플처럼 결제 정책을 바꿔서 모든 앱에 인앱결제를 강제하고 수수료 30%를 떼는 방안을 검토 중이다. 이에 콘텐츠·IT 업계에서는 ""사실상 '앱 통행세' 아니냐""며 크게 우려하고 있다. 한국인터넷기업협회·코리아스타트업포럼은 방송통신위원회에 국내법 위반 여부를 검토해달라고 요청했고, 과학기술정보통신부는 실태조사에 나서기로 했다. 김정환 교수는 끝내 구글이 결제 정책을 애플처럼 변경할 경우 국내 콘텐츠 시장에 어떤 영향을 미칠지를 콘텐츠·게임업체 12곳과 인터뷰해 분석했다. 조사 결과 콘텐츠 사업자들은 수수료 부담이 늘어나면 그 비용을 소비자에게 전가할 수밖에 없다고 보는 것으로 나타났다. 김 교수는 ""구글의 정책 변경은 생태계 내 부익부 빈익빈을 가속할 것""이라며 ""사업자들이 수익에 타격을 받는 부분은 고스란히 가격에 연동될 것이다. 콘텐츠 사업자에게 부과된 수수료가 이용자에 그대로 전가될 가능성이 100%""라고 우려했다. 콘텐츠 사업자들은 시장 영역에서 글로벌 기업 구글에 개별적으로든 공동으로든 대응하기는 어려우므로, 정부의 개입이 필요하다고 보고 있었다. 김 교수는 ""사업자들은 다른 사업자가 구글과 어떻게 계약하는지 잘 모르고 있다고 보였다. 어떻게 보면 구글이 '죄수의 딜레마'(다른 취조실에 있는 공범이 어떤 진술을 하는지 모르는 상황을 가리키는 사회 행동 이론)를 전략적으로 잘 활용하는 것 같다""고 촌평했다. 그러면서 그는 ""사업자들은 '디지털 식민지'가 되기 전에 공정거래위원회 등 정부가 참여해야 한다고 답했다""면서 ""그러나 정부가 실효성 있는 규제를 할 수 있을지 의문이라는 무기력·좌절감도 보였다""고 전했다. 김 교수는 ""구글 매출이 증대하면 국내 사업자·소비자 부담은 증가하는데 구글이 가져간 이익은 자사 서비스 강화 및 연구개발(R&D)에 쓰일 것""이라며 ""규제 관점에서 보면 국내 기업에 대한 '역차별'이라는 시각도 있다""고 지적했다. 그는 ""결국 애플과 다르게 개방적 정책을 표방하면서 시장 내 지위를 확보했던 구글이 책임감 있게 접근해야 할 문제로 보인다""며 ""공정위가 구글 자사 앱 선탑재 문제 등을 같이 조사하는 등 관계 부처의 협동 작전도 필요하다""고 제언했다."
